rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
"Seidel, Sam","Janik, Jonathan S.","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Murphy, Brian","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
overvote,"Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Maher, David P.","Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Galluccio, Anthony D.","Janik, Jonathan S.","Sullivan, Edward J.","Podgers, Kathy","Moree, Gregg J.","Moore, M. Kevin"
"Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Reeves, Kenneth E.",overvote,"Podgers, Kathy","Moree, Gregg J.","Moore, M. Kevin","Maher, David P.","Kelley, Craig A.","Janik, Jonathan S.",skipped,skipped
"Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam","Kelley, Craig A.","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Janik, Jonathan S.","Decker, Marjorie C.","Murphy, Brian","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Reeves, Kenneth E.","Maher, David P.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Maher, David P.","Simmons, E. Denise","Murphy, Brian","Ward, Larry W.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Reeves, Kenneth E.","Maher, David P.","Moore, M. Kevin","Seidel, Sam","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Janik, Jonathan S.","Ward, Larry W.","Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Maher, David P.","Reeves, Kenneth E.","Sullivan, Edward J.","Galluccio, Anthony D.","Moore, M. Kevin","Moree, Gregg J.","Podgers, Kathy"
"Kelley, Craig A.","Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Davis, Henrietta","Toomey, Timothy J., Jr.","Ward, Larry W.","Galluccio, Anthony D.","Podgers, Kathy","Sullivan, Edward J.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Kelley, Craig A.","Reeves, Kenneth E.","Decker, Marjorie C.","Maher, David P.","Janik, Jonathan S.","Toomey, Timothy J., Jr.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","Simmons, E. Denise","Murphy, Brian","Toomey, Timothy J., Jr.","Maher, David P.","Podgers, Kathy","Janik, Jonathan S.","Ward, Larry W.","Seidel, Sam","Sullivan, Edward J.","Kelley, Craig A.","Moree, Gregg J.","Moore, M. Kevin"
"Murphy, Brian","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Simmons, E. Denise","Maher, David P.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Sullivan, Edward J.","Murphy, Brian","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Janik, Jonathan S.","Maher, David P.","Murphy, Brian","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Davis, Henrietta","Sullivan, Edward J.","Janik, Jonathan S.","Simmons, E. Denise","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Ward, Larry W.","Murphy, Brian","Decker, Marjorie C.","Moore, M. Kevin","Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Maher, David P.","Kelley, Craig A.","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Simmons, E. Denise","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Decker, Marjorie C.","Kelley, Craig A.","Reeves, Kenneth E.","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Janik, Jonathan S.","Maher, David P.","Davis, Henrietta","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Simmons, E. Denise","Moore, M. Kevin","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Seidel, Sam","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Simmons, E. Denise","Kelley, Craig A.","Janik, Jonathan S.","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Seidel, Sam","Ward, Larry W.","Moore, M. Kevin","Kelley, Craig A.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Moore, M. Kevin","Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Murphy, Brian","Ward, Larry W.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Moore, M. Kevin","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Seidel, Sam","Davis, Henrietta","Murphy, Brian","Decker, Marjorie C.","Kelley, Craig A.","Simmons, E. Denise","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Janik, Jonathan S.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Decker, Marjorie C.","Sullivan, Edward J.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Galluccio, Anthony D.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Maher, David P.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Ward, Larry W.","Janik, Jonathan S.","Moore, M. Kevin","Moree, Gregg J.","Podgers, Kathy","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Maher, David P.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Maher, David P.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Ward, Larry W.","Podgers, Kathy","Simmons, E. Denise","Decker, Marjorie C.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Janik, Jonathan S.","Ward, Larry W.","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Ward, Larry W.","Davis, Henrietta","Simmons, E. Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Kelley, Craig A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,"Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Simmons, E. Denise","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Sullivan, Edward J.","Janik, Jonathan S.","Galluccio, Anthony D.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian","Maher, David P.","Seidel, Sam","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Janik, Jonathan S.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Timothy J., Jr.","Kelley, Craig A.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Davis, Henrietta","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Toomey, Timothy J., Jr.","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Reeves, Kenneth E.","Podgers, Kathy","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Galluccio, Anthony D.","Maher, David P.","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Simmons, E. Denise","Moore, M. Kevin","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Moore, M. Kevin","Ward, Larry W.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta","Ward, Larry W.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Maher, David P.","Seidel, Sam","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Galluccio, Anthony D.","Murphy, Brian","Moore, M. Kevin","Janik, Jonathan S.","Maher, David P.","Podgers, Kathy","Seidel, Sam","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Seidel, Sam","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Seidel, Sam","Simmons, E. Denise","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Murphy, Brian","Maher, David P.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Simmons, E. Denise","Murphy, Brian","Maher, David P.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Simmons, E. Denise","Seidel, Sam","Moore, M. Kevin","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Decker, Marjorie C.","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.","Maher, David P.","Murphy, Brian","Toomey, Timothy J., Jr.","Simmons, E. Denise","Sullivan, Edward J.","Podgers, Kathy","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Reeves, Kenneth E.","Murphy, Brian","Maher, David P.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Seidel, Sam","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Reeves, Kenneth E.","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Murphy, Brian","Maher, David P.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Moree, Gregg J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Seidel, Sam","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped
