rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Weinstein, David J.","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Bowman, Mannika L.","Lim, Christopher","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Wilson, Ayesha","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Weinstain, Rachel","Kadete, Elechi M.","Dawson, Bernette J.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Lim, Christopher","Fantini, Alfred B.","Wilson, Ayesha","Allen, Ruth Ryan"
"Rojas Villareal, Jose Luis","Lim, Christopher","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis",skipped,"Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Lim, Christopher","Kadete, Elechi M.","Allen, Ruth Ryan"
"Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Lim, Christopher","Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha","Dawson, Bernette J.","Kadete, Elechi M.","Allen, Ruth Ryan","Fantini, Alfred B."
"Bowman, Mannika L.","Weinstein, David J.","Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher","Dawson, Bernette J.","Allen, Ruth Ryan","Rojas Villareal, Jose Luis",skipped,skipped,skipped
"Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Bowman, Mannika L.","Dexter, Emily R.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel","Kadete, Elechi M.","Fantini, Alfred B.","Lim, Christopher","Rojas Villareal, Jose Luis",skipped
"Bowman, Mannika L.","Weinstain, Rachel","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Wilson, Ayesha","Dexter, Emily R.","Lim, Christopher","Dawson, Bernette J.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Kadete, Elechi M.","Weinstein, David J.",skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Kadete, Elechi M.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Wilson, Ayesha","Kadete, Elechi M.","Weinstain, Rachel","Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Wilson, Ayesha","Weinstein, David J.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Lim, Christopher","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Wilson, Ayesha","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstain, Rachel","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Weinstein, David J.","Kadete, Elechi M.","Lim, Christopher","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Dawson, Bernette J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Allen, Ruth Ryan","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Lim, Christopher","Kadete, Elechi M.","Weinstain, Rachel","Fantini, Alfred B.","Allen, Ruth Ryan","Weinstein, David J."
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Bowman, Mannika L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Allen, Ruth Ryan","Bowman, Mannika L.","Wilson, Ayesha","Dexter, Emily R.","Dawson, Bernette J.","Kadete, Elechi M.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Lim, Christopher","Weinstein, David J."
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Lim, Christopher","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan","Dawson, Bernette J.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J."
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Lim, Christopher","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Allen, Ruth Ryan","Dawson, Bernette J.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Lim, Christopher","Wilson, Ayesha","Weinstain, Rachel","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Weinstein, David J.","Dawson, Bernette J."
"Dexter, Emily R.","Dawson, Bernette J.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Weinstain, Rachel","Lim, Christopher","Allen, Ruth Ryan","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Wilson, Ayesha","Dexter, Emily R.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Weinstein, David J.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Bowman, Mannika L.","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Fantini, Alfred B.","Lim, Christopher","Dawson, Bernette J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Dawson, Bernette J.","Fantini, Alfred B.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Rojas Villareal, Jose Luis","Wilson, Ayesha","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Lim, Christopher","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Weinstein, David J."
"Dexter, Emily R.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Allen, Ruth Ryan","Dexter, Emily R.","Weinstain, Rachel","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M.","Bowman, Mannika L.","Wilson, Ayesha","Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M.","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstein, David J.","Weinstain, Rachel"
"Bowman, Mannika L.","Dawson, Bernette J.","Wilson, Ayesha","Lim, Christopher","Dexter, Emily R.","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Kadete, Elechi M.","Weinstain, Rachel","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher","Wilson, Ayesha","Fantini, Alfred B.","Bowman, Mannika L.","Allen, Ruth Ryan","Weinstein, David J.","Dawson, Bernette J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis"
"Bowman, Mannika L.","Dawson, Bernette J.","Fantini, Alfred B.",skipped,skipped,"Lim, Christopher","Allen, Ruth Ryan",skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Weinstain, Rachel","Rojas Villareal, Jose Luis","Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Weinstain, Rachel","Allen, Ruth Ryan","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dawson, Bernette J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha","Allen, Ruth Ryan","Weinstain, Rachel","Weinstein, David J.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Dawson, Bernette J."
"Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Fantini, Alfred B.","Kadete, Elechi M.","Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Kadete, Elechi M.","Lim, Christopher",skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Lim, Christopher","Weinstein, David J.","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan","Dawson, Bernette J.","Fantini, Alfred B.","Dexter, Emily R.","Kadete, Elechi M."
"Wilson, Ayesha","Bowman, Mannika L.","Allen, Ruth Ryan","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstain, Rachel","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Lim, Christopher","Kadete, Elechi M.","Weinstain, Rachel","Weinstein, David J.","Dawson, Bernette J.","Allen, Ruth Ryan"
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Lim, Christopher","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.","Weinstain, Rachel","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Dexter, Emily R.","Allen, Ruth Ryan","Weinstain, Rachel","Weinstein, David J."
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Weinstein, David J.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Dawson, Bernette J.","Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Bowman, Mannika L.","Allen, Ruth Ryan","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Wilson, Ayesha","Weinstein, David J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan",skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Bowman, Mannika L.","Lim, Christopher","Weinstein, David J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Dexter, Emily R.","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Wilson, Ayesha","Weinstain, Rachel","Allen, Ruth Ryan","Lim, Christopher","Kadete, Elechi M.","Fantini, Alfred B.","Bowman, Mannika L."
"Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstain, Rachel","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Bowman, Mannika L.","Lim, Christopher","Weinstein, David J.","Wilson, Ayesha","Fantini, Alfred B.","Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha","Weinstain, Rachel","Dawson, Bernette J.","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher","Allen, Ruth Ryan","Kadete, Elechi M."
"Rojas Villareal, Jose Luis","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Weinstain, Rachel","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha","Kadete, Elechi M.","Allen, Ruth Ryan","Fantini, Alfred B.","Bowman, Mannika L.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Weinstein, David J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Allen, Ruth Ryan","Weinstain, Rachel","Kadete, Elechi M.","Wilson, Ayesha","Weinstein, David J.","Lim, Christopher","Dawson, Bernette J.","Rojas Villareal, Jose Luis"
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Wilson, Ayesha","Lim, Christopher","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.","Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Lim, Christopher","Allen, Ruth Ryan",skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan","Kadete, Elechi M.","Lim, Christopher","Weinstein, David J."
"Rojas Villareal, Jose Luis","Wilson, Ayesha","Weinstain, Rachel","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Dawson, Bernette J.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
