state,jurisdiction,year,date,office,notes,exhaust_on_overvote_marks,exhaust_on_N_repeated_skipped_marks,exhaust_on_duplicate_candidate_marks,exclude_writein_marks,combine_writein_marks,treat_combined_writeins_as_exhaustable_duplicates,multi_winner_rounds,n_winners,rcv_type,bottoms_up_threshold,split_fields,parser_func,cvr_path,extra_parser_args,ignore_contest
,Portland PLACEHOLDER,2021,06/08/2021,charter,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Portland_06082021_charter_commission_at_large.csv,,FALSE
,Oakland PLACEHOLDER,2010,11/02/2010,SchoolDirectorDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11022010_SchoolDirectorDistrict2.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember35thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,,FALSE
,Oakland PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist5OaklandRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_Mayor.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,Ward11CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_Ward11CityCouncil.csv,,FALSE
,SanFrancisco PLACEHOLDER,2008,11/04/2008,BoardofSupervisorsDistrict9.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11042008_BoardofSupervisorsDistrict9.csv,,FALSE
,Oakland PLACEHOLDER,2022,11/08/2022,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082022_Mayor.csv,,FALSE
,Maine PLACEHOLDER,2020,07/14/2020,RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict26.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict26.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict32.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict32.csv,,FALSE
,Berkeley PLACEHOLDER,2018,11/06/2018,CityCouncilDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11062018_CityCouncilDistrict4.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember32ndCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,,FALSE
,Minneapolis PLACEHOLDER,2013,11/05/2013,PRBoardDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11052013_PRBoardDistrict6.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict3.csv,,FALSE
,Berkeley PLACEHOLDER,2017,03/07/2017,CityCouncilDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_03072017_CityCouncilDistrict4.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict2.csv,,FALSE
,Berkeley PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist3BerkeleyRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,,FALSE
,Oakland PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist1OaklandRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,,FALSE
,SanFrancisco PLACEHOLDER,2022,11/08/2022,PublicDefender.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082022_PublicDefender.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember30thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember49thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,,FALSE
,SanFrancisco PLACEHOLDER,2016,11/08/2016,BoardofSupervisorsDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict33.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict33.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict27.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict27.csv,,FALSE
,Burlington PLACEHOLDER,2006,03/07/2006,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Burlington_03072006_Mayor.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward7CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward7CityCouncil.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,Treasurer.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_Treasurer.csv,,FALSE
,SanFrancisco PLACEHOLDER,2010,11/02/2010,BoardofSupervisorsDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,,FALSE
,Oakland PLACEHOLDER,2014,11/04/2014,SchoolDirectorDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11042014_SchoolDirectorDistrict6.csv,,FALSE
,SanFrancisco PLACEHOLDER,2022,11/08/2022,BoardofSupervisorsD8.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082022_BoardofSupervisorsD8.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember29thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,,FALSE
,Oakland PLACEHOLDER,2016,11/08/2016,SchoolDirectorDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082016_SchoolDirectorDistrict3.csv,,FALSE
,Maine PLACEHOLDER,2020,07/14/2020,DemocraticCandidateforMaineStateSenateDistrict11.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,,FALSE
,Oakland PLACEHOLDER,2020,11/03/2020,SchoolDirectorDist3OaklandRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,,FALSE
,LasCruces PLACEHOLDER,2019,11/05/2019,MAYORCITYOFLASCRUCES.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict40.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict40.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,MemberBoardofSupervisorsDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_MemberBoardofSupervisorsDistrict5.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard4.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard11.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard11.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,Ward13CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_Ward13CityCouncil.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember11thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,,FALSE
,SanFrancisco PLACEHOLDER,2012,11/06/2012,BoardofSupervisorsDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11062012_BoardofSupervisorsDistrict5.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,DistrictAttorney.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_DistrictAttorney.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,PublicDefender.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_PublicDefender.csv,,FALSE
,SanFrancisco PLACEHOLDER,2004,11/02/2004,BoardofSupervisorsDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11022004_BoardofSupervisorsDistrict2.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict1.csv,,FALSE
,PierceCounty PLACEHOLDER,2008,11/04/2008,CountyExecutiveMember.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/PierceCounty_11042008_CountyExecutiveMember.csv,,FALSE
,Oakland PLACEHOLDER,2020,11/03/2020,SchoolDirectorDist7OaklandRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward5CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward5CityCouncil.csv,,FALSE
,SanFrancisco PLACEHOLDER,2004,11/02/2004,BoardofSupervisorsDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,,FALSE
,Oakland PLACEHOLDER,2012,11/06/2012,SchoolDirectorDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062012_SchoolDirectorDistrict1.csv,,FALSE
,Oakland PLACEHOLDER,2018,11/06/2018,SchoolDirectorDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062018_SchoolDirectorDistrict6.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard10.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard10.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard5.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember1stCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,,FALSE
,SanFrancisco PLACEHOLDER,2006,11/07/2006,BoardofSupervisorsDistrict8.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11072006_BoardofSupervisorsDistrict8.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,SenateDistrictA.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_SenateDistrictA.csv,,FALSE
,Oakland PLACEHOLDER,2018,11/06/2018,CityCouncilDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062018_CityCouncilDistrict2.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember14thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember5thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,SenateDistrictC.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_SenateDistrictC.csv,,FALSE
,PierceCounty PLACEHOLDER,2009,11/03/2009,CountyAuditor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/PierceCounty_11032009_CountyAuditor.csv,,FALSE
,SanLeandro PLACEHOLDER,2014,11/04/2014,CountyCouncilDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanLeandro_11042014_CountyCouncilDistrict5.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard12.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard12.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard7.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard7.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember2ndCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,,FALSE
,Oakland PLACEHOLDER,2018,11/06/2018,SchoolDirectorDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062018_SchoolDirectorDistrict4.csv,,FALSE
,Oakland PLACEHOLDER,2012,11/06/2012,SchoolDirectorDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062012_SchoolDirectorDistrict3.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict2.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict3.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict3.csv,,FALSE
,SanLeandro PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist4SanLeandroRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanLeandro_11032020_MemberCityCouncilDist4SanLeandroRCV.csv,,FALSE
,SanFrancisco PLACEHOLDER,2012,11/06/2012,BoardofSupervisorsDistrict7.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard6.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward2CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward2CityCouncil.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard13.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard13.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember26thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,,FALSE
,Berkeley PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist6BerkeleyRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,,FALSE
,Hawaii PLACEHOLDER,2020,05/23/2020,PresidentoftheUnitedStateCD1CD2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,SenateDistrictB.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_SenateDistrictB.csv,,FALSE
,Oakland PLACEHOLDER,2016,11/08/2016,SchoolDirectorDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082016_SchoolDirectorDistrict1.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,GovernorLieutenantGovernor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_GovernorLieutenantGovernor.csv,,FALSE
,SanFrancisco PLACEHOLDER,2016,11/08/2016,BoardofSupervisorsDistrict11.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082016_BoardofSupervisorsDistrict11.csv,,FALSE
,Oakland PLACEHOLDER,2014,11/04/2014,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11042014_Mayor.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward3CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward3CityCouncil.csv,,FALSE
,Berkeley PLACEHOLDER,2010,11/02/2010,CityCouncilDistrict8.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11022010_CityCouncilDistrict8.csv,,FALSE
,Burlington PLACEHOLDER,2023,03/07/2023,CityCouncilSouthDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Burlington_03072023_CityCouncilSouthDistrict.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,SenateDistrictQ.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_SenateDistrictQ.csv,,FALSE
,Springville PLACEHOLDER,2021,11/02/2021,CityCouncil2yr.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Springville_11022021_CityCouncil2yr.csv,,FALSE
,Oakland PLACEHOLDER,2016,11/08/2016,SchoolDirectorDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082016_SchoolDirectorDistrict5.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,SenateDistrictF.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_SenateDistrictF.csv,,FALSE
,WoodlandHills PLACEHOLDER,2021,11/02/2021,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/WoodlandHills_11022021_Mayor.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,CityCouncilWard2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_CityCouncilWard2.csv,,FALSE
,Burlington PLACEHOLDER,2023,03/07/2023,CityCouncilCentralDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Burlington_03072023_CityCouncilCentralDistrict.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember34thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict7.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict7.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict6.csv,,FALSE
