precincts,tally_type,ballotID,rank1,rank2,rank3
25-148,Absentee Voting,000163595,Joyce McDonald,skipped,skipped
25-148,Absentee Voting,000163596,Joyce McDonald,Carolyn Merrival,Al Rose
25-148,Absentee Voting,000163597,Joyce McDonald,Al Rose,skipped
25-148,Absentee Voting,000163598,Joyce McDonald,writein,writein
25-148,Absentee Voting,000163599,Al Rose,Carolyn Merrival,Joyce McDonald
25-148,Absentee Voting,000163600,Joyce McDonald,Al Rose,Carolyn Merrival
25-148,Absentee Voting,000163601,Al Rose,skipped,skipped
25-148,Absentee Voting,000163602,Joyce McDonald,Al Rose,Carolyn Merrival
25-148,Absentee Voting,000163603,Joyce McDonald,skipped,skipped
25-148,Absentee Voting,000163604,Carolyn Merrival,Al Rose,Joyce McDonald
25-148,Absentee Voting,000163605,Carolyn Merrival,writein,writein
25-148,Absentee Voting,000163606,Joyce McDonald,Carolyn Merrival,Al Rose
25-148,Absentee Voting,000163607,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163861,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163862,Al Rose,skipped,skipped
25-152,Absentee Voting,000163863,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163864,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163865,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163866,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163867,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163868,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163869,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163870,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163871,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163872,Al Rose,skipped,skipped
25-152,Absentee Voting,000163873,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163874,Al Rose,skipped,skipped
25-152,Absentee Voting,000163875,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163876,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163877,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163878,Carolyn Merrival,Joyce McDonald,Al Rose
25-152,Absentee Voting,000163879,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163880,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163881,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163882,Joyce McDonald,Carolyn Merrival,skipped
25-152,Absentee Voting,000163883,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163884,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163885,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163886,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163887,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163888,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163889,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-152,Absentee Voting,000163890,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163891,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163892,skipped,skipped,skipped
25-152,Absentee Voting,000163893,Joyce McDonald,Al Rose,skipped
25-152,Absentee Voting,000163894,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163895,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163896,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163897,skipped,skipped,skipped
25-152,Absentee Voting,000163898,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163899,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163900,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163901,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163902,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163903,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163904,skipped,skipped,skipped
25-152,Absentee Voting,000163905,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163906,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163907,Joyce McDonald,writein,writein
25-152,Absentee Voting,000163908,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163909,Al Rose,skipped,skipped
25-152,Absentee Voting,000163910,skipped,skipped,skipped
25-152,Absentee Voting,000163911,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163912,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163913,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163914,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163915,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163916,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163917,Al Rose,Carolyn Merrival,writein
25-152,Absentee Voting,000163918,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163919,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163920,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163921,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163922,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163923,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163924,skipped,skipped,skipped
25-152,Absentee Voting,000163925,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163926,skipped,skipped,skipped
25-152,Absentee Voting,000163927,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163928,Al Rose,Joyce McDonald,Carolyn Merrival
25-152,Absentee Voting,000163929,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163930,Al Rose,Joyce McDonald,Carolyn Merrival
25-152,Absentee Voting,000163931,Carolyn Merrival,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163932,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163933,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163934,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163935,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163936,Carolyn Merrival,Joyce McDonald,Al Rose
25-152,Absentee Voting,000163937,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163938,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163939,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163940,Joyce McDonald,Carolyn Merrival,skipped
25-152,Absentee Voting,000163941,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163942,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163943,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163944,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163945,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163946,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163947,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163948,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-152,Absentee Voting,000163949,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163950,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163951,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163952,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163953,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163954,skipped,skipped,skipped
25-152,Absentee Voting,000163955,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163956,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163957,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163958,Al Rose,Joyce McDonald,Carolyn Merrival
25-152,Absentee Voting,000163959,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163960,Al Rose,skipped,skipped
25-152,Absentee Voting,000163961,Al Rose,skipped,skipped
25-152,Absentee Voting,000163962,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163963,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163964,Al Rose,skipped,skipped
25-152,Absentee Voting,000163965,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163966,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163967,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163968,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163969,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163970,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163971,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163972,Al Rose,skipped,skipped
25-152,Absentee Voting,000163973,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163974,Carolyn Merrival,Al Rose,Joyce McDonald
25-152,Absentee Voting,000163975,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163976,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163977,Carolyn Merrival,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163978,Joyce McDonald,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163979,Carolyn Merrival,skipped,skipped
25-152,Absentee Voting,000163980,Al Rose,Joyce McDonald,Carolyn Merrival
25-152,Absentee Voting,000163981,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163982,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163983,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163984,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163985,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163986,Al Rose,Carolyn Merrival,Joyce McDonald
25-152,Absentee Voting,000163987,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163988,Joyce McDonald,Carolyn Merrival,Al Rose
25-152,Absentee Voting,000163989,overvote,skipped,skipped
25-152,Absentee Voting,000163990,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163991,Joyce McDonald,Al Rose,Carolyn Merrival
25-152,Absentee Voting,000163992,Carolyn Merrival,Al Rose,skipped
25-152,Absentee Voting,000163993,Al Rose,Carolyn Merrival,writein
25-152,Absentee Voting,000163994,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163995,Al Rose,Joyce McDonald,Carolyn Merrival
25-152,Absentee Voting,000163996,Joyce McDonald,skipped,skipped
25-152,Absentee Voting,000163997,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-152,Absentee Voting,000163998,Al Rose,Carolyn Merrival,skipped
25-152,Absentee Voting,000163999,Joyce McDonald,writein,Al Rose
25-152,Absentee Voting,000164000,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164001,skipped,skipped,skipped
25-153,Absentee Voting,000164002,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164003,skipped,skipped,skipped
25-153,Absentee Voting,000164004,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164005,Al Rose,skipped,skipped
25-153,Absentee Voting,000164006,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164007,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164008,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164009,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164010,Al Rose,skipped,skipped
25-153,Absentee Voting,000164011,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164012,Al Rose,skipped,skipped
25-153,Absentee Voting,000164013,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164014,Al Rose,skipped,skipped
25-153,Absentee Voting,000164015,Joyce McDonald,Al Rose,skipped
25-153,Absentee Voting,000164016,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164017,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164018,Carolyn Merrival,Al Rose,skipped
25-153,Absentee Voting,000164019,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164020,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164021,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164022,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164023,Al Rose,skipped,skipped
25-153,Absentee Voting,000164024,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164025,Al Rose,Joyce McDonald,Carolyn Merrival
25-153,Absentee Voting,000164026,Al Rose,skipped,skipped
25-153,Absentee Voting,000164027,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164028,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164029,Al Rose,Carolyn Merrival,skipped
25-153,Absentee Voting,000164030,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164031,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164032,skipped,skipped,skipped
25-153,Absentee Voting,000164033,Carolyn Merrival,Al Rose,skipped
25-153,Absentee Voting,000164034,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164035,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164036,Al Rose,Carolyn Merrival,skipped
25-153,Absentee Voting,000164037,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164038,Carolyn Merrival,Al Rose,skipped
25-153,Absentee Voting,000164039,Al Rose,Al Rose,Al Rose
25-153,Absentee Voting,000164040,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164041,skipped,skipped,skipped
25-153,Absentee Voting,000164042,Al Rose,Joyce McDonald,Carolyn Merrival
25-153,Absentee Voting,000164043,Carolyn Merrival,writein,Al Rose
25-153,Absentee Voting,000164044,Carolyn Merrival,Al Rose,skipped
25-153,Absentee Voting,000164045,skipped,skipped,skipped
25-153,Absentee Voting,000164046,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164047,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164048,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164049,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164050,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164051,Carolyn Merrival,Al Rose,skipped
25-153,Absentee Voting,000164052,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164053,Carolyn Merrival,writein,writein
25-153,Absentee Voting,000164054,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164055,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164056,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164057,Al Rose,Joyce McDonald,Carolyn Merrival
25-153,Absentee Voting,000164058,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164059,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164060,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-153,Absentee Voting,000164061,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164062,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164063,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164064,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-153,Absentee Voting,000164065,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164066,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164067,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164068,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164069,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164070,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164071,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164072,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164073,Al Rose,Carolyn Merrival,writein
25-153,Absentee Voting,000164074,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164075,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164076,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164077,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164078,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164079,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164080,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164081,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164082,Carolyn Merrival,Joyce McDonald,Al Rose
25-153,Absentee Voting,000164083,Al Rose,Joyce McDonald,Carolyn Merrival
25-153,Absentee Voting,000164084,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164085,Joyce McDonald,Al Rose,Carolyn Merrival
25-153,Absentee Voting,000164086,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164087,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164088,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164089,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164090,Carolyn Merrival,Joyce McDonald,skipped
25-153,Absentee Voting,000164091,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164092,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164093,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164094,Al Rose,Carolyn Merrival,skipped
25-153,Absentee Voting,000164095,Al Rose,skipped,skipped
25-153,Absentee Voting,000164096,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164097,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164098,Al Rose,skipped,skipped
25-153,Absentee Voting,000164099,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164100,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164101,skipped,skipped,skipped
25-153,Absentee Voting,000164102,Al Rose,Al Rose,Al Rose
25-153,Absentee Voting,000164103,Al Rose,skipped,skipped
25-153,Absentee Voting,000164104,Al Rose,Carolyn Merrival,skipped
25-153,Absentee Voting,000164105,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164106,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164107,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164108,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164109,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164110,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164111,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164112,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164113,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164114,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164115,Al Rose,skipped,skipped
25-153,Absentee Voting,000164116,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164117,Joyce McDonald,Carolyn Merrival,Al Rose
25-153,Absentee Voting,000164118,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164119,Al Rose,Carolyn Merrival,Joyce McDonald
25-153,Absentee Voting,000164120,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-153,Absentee Voting,000164121,Carolyn Merrival,skipped,skipped
25-153,Absentee Voting,000164122,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164123,Joyce McDonald,skipped,skipped
25-153,Absentee Voting,000164124,Carolyn Merrival,Al Rose,Joyce McDonald
25-153,Absentee Voting,000164125,Al Rose,skipped,skipped
25-154,Absentee Voting,000164126,Carolyn Merrival,Al Rose,skipped
25-154,Absentee Voting,000164127,Joyce McDonald,Carolyn Merrival,Al Rose
25-154,Absentee Voting,000164128,skipped,skipped,skipped
25-154,Absentee Voting,000164129,skipped,skipped,skipped
25-154,Absentee Voting,000164130,Joyce McDonald,skipped,skipped
25-154,Absentee Voting,000164131,Al Rose,skipped,skipped
25-173,Absentee Voting,000166066,Joyce McDonald,Al Rose,Carolyn Merrival
25-173,Absentee Voting,000166067,Carolyn Merrival,skipped,skipped
25-173,Absentee Voting,000166068,Al Rose,skipped,skipped
25-173,Absentee Voting,000166069,Joyce McDonald,Al Rose,Carolyn Merrival
25-173,Absentee Voting,000166070,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166071,Joyce McDonald,Al Rose,Carolyn Merrival
25-173,Absentee Voting,000166072,Joyce McDonald,Carolyn Merrival,Al Rose
25-173,Absentee Voting,000166073,skipped,skipped,skipped
25-173,Absentee Voting,000166074,Al Rose,Carolyn Merrival,skipped
25-173,Absentee Voting,000166075,Carolyn Merrival,Joyce McDonald,Al Rose
25-173,Absentee Voting,000166076,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166077,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166078,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166079,Al Rose,Carolyn Merrival,Joyce McDonald
25-173,Absentee Voting,000166080,skipped,skipped,skipped
25-173,Absentee Voting,000166081,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166082,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166083,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166084,skipped,skipped,skipped
25-173,Absentee Voting,000166085,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166086,Joyce McDonald,Carolyn Merrival,Al Rose
25-173,Absentee Voting,000166087,Al Rose,skipped,skipped
25-173,Absentee Voting,000166088,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166089,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166090,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166091,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166092,Joyce McDonald,Joyce McDonald,skipped
25-173,Absentee Voting,000166093,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166094,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166095,Al Rose,Al Rose,Al Rose
25-173,Absentee Voting,000166096,Al Rose,Joyce McDonald,Carolyn Merrival
25-173,Absentee Voting,000166097,Al Rose,Carolyn Merrival,Joyce McDonald
25-173,Absentee Voting,000166098,Al Rose,Al Rose,Al Rose
25-173,Absentee Voting,000166099,Joyce McDonald,Al Rose,Carolyn Merrival
25-173,Absentee Voting,000166100,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166101,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166102,Carolyn Merrival,Al Rose,Carolyn Merrival
25-173,Absentee Voting,000166103,Carolyn Merrival,Al Rose,Joyce McDonald
25-173,Absentee Voting,000166104,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166105,Al Rose,Carolyn Merrival,skipped
25-173,Absentee Voting,000166106,Joyce McDonald,Carolyn Merrival,Al Rose
25-173,Absentee Voting,000166107,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166108,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166109,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166110,Joyce McDonald,Joyce McDonald,skipped
25-173,Absentee Voting,000166111,Al Rose,Joyce McDonald,skipped
25-173,Absentee Voting,000166112,Joyce McDonald,Carolyn Merrival,Al Rose
25-173,Absentee Voting,000166113,Joyce McDonald,Carolyn Merrival,Al Rose
25-173,Absentee Voting,000166114,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166115,Carolyn Merrival,Joyce McDonald,skipped
25-173,Absentee Voting,000166116,Al Rose,skipped,skipped
25-173,Absentee Voting,000166117,Al Rose,Joyce McDonald,Carolyn Merrival
25-173,Absentee Voting,000166118,Al Rose,Carolyn Merrival,Joyce McDonald
25-173,Absentee Voting,000166119,Al Rose,Carolyn Merrival,Joyce McDonald
25-173,Absentee Voting,000166120,Carolyn Merrival,Al Rose,skipped
25-173,Absentee Voting,000166121,Joyce McDonald,skipped,skipped
25-173,Absentee Voting,000166122,Al Rose,Carolyn Merrival,Joyce McDonald
25-173,Absentee Voting,000166123,Al Rose,Carolyn Merrival,skipped
25-173,Absentee Voting,000166124,Carolyn Merrival,skipped,skipped
25-173,Absentee Voting,000166125,Joyce McDonald,Al Rose,Carolyn Merrival
27-329,Absentee Voting,000170182,Joyce McDonald,Al Rose,Carolyn Merrival
27-332,Absentee Voting,000170183,skipped,skipped,Al Rose
27-332,Absentee Voting,000170184,Joyce McDonald,writein,skipped
27-332,Absentee Voting,000170185,Al Rose,Carolyn Merrival,skipped
27-332,Absentee Voting,000170186,Joyce McDonald,skipped,skipped
27-332,Absentee Voting,000170187,Carolyn Merrival,Al Rose,skipped
27-332,Absentee Voting,000170188,Al Rose,Joyce McDonald,skipped
27-332,Absentee Voting,000170189,Al Rose,Carolyn Merrival,Joyce McDonald
27-332,Absentee Voting,000170190,Carolyn Merrival,Al Rose,skipped
27-332,Absentee Voting,000170191,Joyce McDonald,skipped,skipped
27-332,Absentee Voting,000170192,Joyce McDonald,skipped,skipped
27-332,Absentee Voting,000170193,Joyce McDonald,Al Rose,Carolyn Merrival
27-332,Absentee Voting,000170194,Carolyn Merrival,Al Rose,skipped
27-332,Absentee Voting,000170195,Al Rose,skipped,skipped
27-332,Absentee Voting,000170196,Al Rose,Carolyn Merrival,Joyce McDonald
27-332,Absentee Voting,000170197,Carolyn Merrival,Al Rose,writein
27-332,Absentee Voting,000170198,Joyce McDonald,Carolyn Merrival,Al Rose
27-332,Absentee Voting,000170199,Carolyn Merrival,Joyce McDonald,Al Rose
27-332,Absentee Voting,000170200,Carolyn Merrival,skipped,skipped
27-332,Absentee Voting,000170201,Al Rose,Carolyn Merrival,Joyce McDonald
27-332,Absentee Voting,000170202,Carolyn Merrival,Joyce McDonald,Al Rose
27-332,Absentee Voting,000170203,Carolyn Merrival,Joyce McDonald,Joyce McDonald
27-332,Absentee Voting,000170204,Al Rose,skipped,skipped
27-332,Absentee Voting,000170205,Carolyn Merrival,Al Rose,Joyce McDonald
27-332,Absentee Voting,000170206,Joyce McDonald,skipped,skipped
27-332,Absentee Voting,000170207,Joyce McDonald,skipped,skipped
27-332,Absentee Voting,000170208,skipped,skipped,skipped
27-332,Absentee Voting,000170209,Carolyn Merrival,Al Rose,Joyce McDonald
27-333,Absentee Voting,000170210,Joyce McDonald,Carolyn Merrival,Al Rose
27-333,Absentee Voting,000170211,Al Rose,Carolyn Merrival,skipped
27-333,Absentee Voting,000170212,Joyce McDonald,skipped,skipped
27-333,Absentee Voting,000170213,Al Rose,Carolyn Merrival,Joyce McDonald
27-333,Absentee Voting,000170214,Joyce McDonald,skipped,skipped
27-333,Absentee Voting,000170215,Joyce McDonald,skipped,skipped
27-333,Absentee Voting,000170216,Joyce McDonald,skipped,skipped
27-333,Absentee Voting,000170217,Carolyn Merrival,Al Rose,Joyce McDonald
27-333,Absentee Voting,000170218,Al Rose,Carolyn Merrival,Joyce McDonald
27-333,Absentee Voting,000170219,Joyce McDonald,Al Rose,Carolyn Merrival
27-333,Absentee Voting,000170220,Joyce McDonald,writein,writein
27-333,Absentee Voting,000170221,Al Rose,skipped,skipped
27-334,Absentee Voting,000170222,Al Rose,Carolyn Merrival,Joyce McDonald
