BallotType,BatchId,CountingGroup,CvrNumber,ImprintedId,PrecinctPortion,RecordId,TabulatorNum,rank1,rank2,rank3,rank4,rank5
8 (8),51,Vote by Mail,2147,1003-51-422,262000 (0057),422,1003,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI
8 (8),51,Vote by Mail,2148,1003-51-417,262000 (0057),417,1003,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),51,Vote by Mail,2149,1003-51-265,262000 (0057),265,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2150,1003-51-235,262000 (0057),235,1003,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2151,1003-51-160,262000 (0057),160,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,skipped
8 (8),51,Vote by Mail,2152,1003-51-140,262000 (0057),140,1003,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2153,1003-51-49,262000 (0057),49,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2154,1003-51-585,262000 (0057),585,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2155,1003-51-580,262000 (0057),580,1003,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ
8 (8),51,Vote by Mail,2156,1003-51-575,262000 (0057),575,1003,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),51,Vote by Mail,2157,1003-51-518,262000 (0057),518,1003,NICK PILCH,skipped,skipped,skipped,skipped
8 (8),51,Vote by Mail,2158,1003-51-515,262000 (0057),515,1003,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),51,Vote by Mail,2159,1003-51-461,262000 (0057),461,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),51,Vote by Mail,2160,1003-51-362,262000 (0057),362,1003,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),51,Vote by Mail,2161,1003-51-359,262000 (0057),359,1003,ROBIN D  LOPEZ,skipped,skipped,skipped,skipped
8 (8),51,Vote by Mail,2162,1003-51-326,262000 (0057),326,1003,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),51,Vote by Mail,2163,1003-51-256,262000 (0057),256,1003,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),51,Vote by Mail,2164,1003-51-193,262000 (0057),193,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2165,1003-51-150,262000 (0057),150,1003,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2166,1003-51-54,262000 (0057),54,1003,overvote,JEREMIAH GARRETT PINGUELO,skipped,skipped,overvote
8 (8),51,Vote by Mail,2167,1003-51-717,262000 (0057),717,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),51,Vote by Mail,2168,1003-51-712,262000 (0057),712,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),51,Vote by Mail,2169,1003-51-453,262000 (0057),453,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),51,Vote by Mail,2170,1003-51-289,262000 (0057),289,1003,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),51,Vote by Mail,2171,1003-51-284,262000 (0057),284,1003,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),51,Vote by Mail,2172,1003-51-215,262000 (0057),215,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,skipped
8 (8),51,Vote by Mail,2173,1003-51-130,262000 (0057),130,1003,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2174,1003-51-75,262000 (0057),75,1003,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),51,Vote by Mail,2175,1003-51-692,262000 (0057),692,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped,skipped
8 (8),51,Vote by Mail,2176,1003-51-549,262000 (0057),549,1003,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2177,1003-51-406,262000 (0057),406,1003,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2178,1003-51-403,262000 (0057),403,1003,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),51,Vote by Mail,2179,1003-51-307,262000 (0057),307,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2180,1003-51-179,262000 (0057),179,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2181,1003-51-115,262000 (0057),115,1003,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2182,1003-51-80,262000 (0057),80,1003,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2183,1003-51-646,262000 (0057),646,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),51,Vote by Mail,2184,1003-51-641,262000 (0057),641,1003,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),51,Vote by Mail,2185,1003-51-524,262000 (0057),524,1003,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2186,1003-51-372,262000 (0057),372,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,skipped
8 (8),51,Vote by Mail,2187,1003-51-367,262000 (0057),367,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2188,1003-51-293,262000 (0057),293,1003,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2189,1003-51-155,262000 (0057),155,1003,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),51,Vote by Mail,2190,1003-51-105,262000 (0057),105,1003,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped
8 (8),51,Vote by Mail,2191,1003-51-611,262000 (0057),611,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,skipped,skipped
8 (8),51,Vote by Mail,2192,1003-51-486,262000 (0057),486,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2193,1003-51-481,262000 (0057),481,1003,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2194,1003-51-279,262000 (0057),279,1003,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),51,Vote by Mail,2195,1003-51-200,262000 (0057),200,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2196,1003-51-125,262000 (0057),125,1003,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2197,1003-51-90,262000 (0057),90,1003,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),51,Vote by Mail,2198,1003-51-636,262000 (0057),636,1003,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped
8 (8),51,Vote by Mail,2199,1003-51-631,262000 (0057),631,1003,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),51,Vote by Mail,2200,1003-51-476,262000 (0057),476,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),51,Vote by Mail,2201,1003-51-471,262000 (0057),471,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),51,Vote by Mail,2202,1003-51-354,262000 (0057),354,1003,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),51,Vote by Mail,2203,1003-51-220,262000 (0057),220,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2204,1003-51-145,262000 (0057),145,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),51,Vote by Mail,2205,1003-51-651,262000 (0057),651,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),51,Vote by Mail,2206,1003-51-530,262000 (0057),530,1003,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2207,1003-51-529,262000 (0057),529,1003,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),51,Vote by Mail,2208,1003-51-398,262000 (0057),398,1003,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),51,Vote by Mail,2209,1003-51-392,262000 (0057),392,1003,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),51,Vote by Mail,2210,1003-51-311,262000 (0057),311,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2211,1003-51-175,262000 (0057),175,1003,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),51,Vote by Mail,2212,1003-51-589,262000 (0057),589,1003,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),51,Vote by Mail,2216,1003-51-230,262000 (0057),230,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,Write in,NICK PILCH
8 (8),51,Vote by Mail,2218,1003-51-539,262000 (0057),539,1003,overvote,overvote,skipped,skipped,skipped
8 (8),51,Vote by Mail,2219,1003-51-100,262000 (0057),100,1003,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),51,Vote by Mail,2220,1003-51-544,262000 (0057),544,1003,overvote,overvote,skipped,skipped,skipped
8 (8),51,Vote by Mail,2221,1003-51-55,262000 (0057),55,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),51,Vote by Mail,2223,1003-51-255,262000 (0057),255,1003,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),51,Vote by Mail,2224,1003-51-297,262000 (0057),297,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped
8 (8),51,Vote by Mail,2230,1003-51-677,262000 (0057),677,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2231,1005-12-454,261300 (0056),454,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),12,Vote by Mail,2232,1005-12-449,261300 (0056),449,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),12,Vote by Mail,2233,1005-12-444,261300 (0056),444,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2234,1005-12-439,261300 (0056),439,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2235,1005-12-364,261300 (0056),364,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2236,1005-12-359,261300 (0056),359,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2237,1005-12-291,261300 (0056),291,1005,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2238,1005-12-208,261300 (0056),208,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2239,1005-12-203,261300 (0056),203,1005,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2240,1005-12-123,261300 (0056),123,1005,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped
8 (8),12,Vote by Mail,2241,1005-12-88,261300 (0056),88,1005,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped,skipped,skipped
8 (8),12,Vote by Mail,2242,1005-12-68,261300 (0056),68,1005,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2243,1005-12-20,261300 (0056),20,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2244,1005-12-557,261300 (0056),557,1005,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH
8 (8),12,Vote by Mail,2245,1005-12-552,261300 (0056),552,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,NICK PILCH
8 (8),12,Vote by Mail,2246,1005-12-434,261300 (0056),434,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2247,1005-12-340,261300 (0056),340,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),12,Vote by Mail,2248,1005-12-198,261300 (0056),198,1005,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),12,Vote by Mail,2249,1005-12-143,261300 (0056),143,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,overvote,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2250,1005-12-93,261300 (0056),93,1005,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2251,1005-12-10,261300 (0056),10,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,skipped
8 (8),12,Vote by Mail,2252,1005-12-646,261300 (0056),646,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped,skipped
8 (8),12,Vote by Mail,2253,1005-12-641,261300 (0056),641,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2254,1005-12-567,261300 (0056),567,1005,JEREMIAH GARRETT PINGUELO,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ
8 (8),12,Vote by Mail,2255,1005-12-507,261300 (0056),507,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),12,Vote by Mail,2256,1005-12-414,261300 (0056),414,1005,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),12,Vote by Mail,2257,1005-12-296,261300 (0056),296,1005,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2258,1005-12-163,261300 (0056),163,1005,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),12,Vote by Mail,2259,1005-12-36,261300 (0056),36,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),12,Vote by Mail,2260,1005-12-5,261300 (0056),5,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2261,1005-12-493,261300 (0056),493,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2262,1005-12-488,261300 (0056),488,1005,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH
8 (8),12,Vote by Mail,2263,1005-12-345,261300 (0056),345,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),12,Vote by Mail,2264,1005-12-286,261300 (0056),286,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2265,1005-12-152,261300 (0056),152,1005,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI
8 (8),12,Vote by Mail,2266,1005-12-103,261300 (0056),103,1005,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),12,Vote by Mail,2267,1005-12-15,261300 (0056),15,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,skipped
8 (8),12,Vote by Mail,2268,1005-12-522,261300 (0056),522,1005,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2269,1005-12-517,261300 (0056),517,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2270,1005-12-512,261300 (0056),512,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),12,Vote by Mail,2271,1005-12-374,261300 (0056),374,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2272,1005-12-369,261300 (0056),369,1005,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2273,1005-12-276,261300 (0056),276,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2274,1005-12-271,261300 (0056),271,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2275,1005-12-213,261300 (0056),213,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),12,Vote by Mail,2276,1005-12-98,261300 (0056),98,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2277,1005-12-26,261300 (0056),26,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),12,Vote by Mail,2278,1005-12-542,261300 (0056),542,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2279,1005-12-537,261300 (0056),537,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,NICK PILCH
8 (8),12,Vote by Mail,2280,1005-12-389,261300 (0056),389,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),12,Vote by Mail,2281,1005-12-384,261300 (0056),384,1005,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),12,Vote by Mail,2282,1005-12-183,261300 (0056),183,1005,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped
8 (8),12,Vote by Mail,2283,1005-12-138,261300 (0056),138,1005,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2284,1005-12-78,261300 (0056),78,1005,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ
8 (8),12,Vote by Mail,2285,1005-12-25,261300 (0056),25,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),12,Vote by Mail,2286,1005-12-547,261300 (0056),547,1005,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped
8 (8),12,Vote by Mail,2287,1005-12-419,261300 (0056),419,1005,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),12,Vote by Mail,2288,1005-12-330,261300 (0056),330,1005,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),12,Vote by Mail,2289,1005-12-261,261300 (0056),261,1005,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2290,1005-12-193,261300 (0056),193,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),12,Vote by Mail,2291,1005-12-148,261300 (0056),148,1005,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ
8 (8),12,Vote by Mail,2292,1005-12-108,261300 (0056),108,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),12,Vote by Mail,2293,1005-12-58,261300 (0056),58,1005,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),12,Vote by Mail,2294,1005-12-31,261300 (0056),31,1005,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH
8 (8),12,Vote by Mail,2295,1005-12-532,261300 (0056),532,1005,NICK PILCH,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),12,Vote by Mail,2296,1005-12-527,261300 (0056),527,1005,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),12,Vote by Mail,2297,1005-12-394,261300 (0056),394,1005,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),12,Vote by Mail,2298,1005-12-306,261300 (0056),306,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),12,Vote by Mail,2299,1005-12-246,261300 (0056),246,1005,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
