Cast Vote Record,Precinct,Ballot Style,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
2209,Portland Absentee,Ballot Style 2,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2210,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Grant, Benjamin K.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Chann, Marpheen S.","Bailey, William M.","Condrey, Lawson T.",undervote
2211,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2212,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",undervote,undervote,undervote
2213,Portland Absentee,Ballot Style 2,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2214,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2215,Portland Absentee,Ballot Style 2,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Grant, Benjamin K.","Buxton, Catherine A.","Houseal, Ian P.",undervote,undervote,undervote
2216,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2217,Portland Absentee,Ballot Style 4,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2218,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2219,Portland Absentee,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2220,Portland Absentee,Ballot Style 5,"Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2221,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
2222,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote
2223,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Rovelto, Hope R."
2224,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2225,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
2226,Portland Absentee,Ballot Style 4,"Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2227,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Houseal, Ian P.","Bailey, William M.","Rovelto, Hope R.","DiMillo, Steven A."
2228,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Condrey, Lawson T.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote
2229,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.",undervote
2230,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Houseal, Ian P.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote
2231,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Houseal, Ian P.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.",undervote
2232,Portland Absentee,Ballot Style 3,"Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Houseal, Ian P.","Washburn, Patricia J.","Grant, Benjamin K.","Bailey, William M.","DiMillo, Steven A.",undervote
2233,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2234,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
2235,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2236,Portland Absentee,Ballot Style 3,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
2237,Portland Absentee,Ballot Style 4,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2238,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2239,Portland Absentee,Ballot Style 3,"Condrey, Lawson T.","Houseal, Ian P.","Buxton, Catherine A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2240,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2241,Portland Absentee,Ballot Style 2,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
2242,Portland Absentee,Ballot Style 2,"Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
2243,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2244,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2245,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2246,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote
2247,Portland Absentee,Ballot Style 1,"Houseal, Ian P.","Grant, Benjamin K.","Chann, Marpheen S.","Bailey, William M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
2248,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2249,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2250,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2251,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Rovelto, Hope R.","Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
2252,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2253,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.","Houseal, Ian P.","Emerson, Anthony M.","DiMillo, Steven A.","Condrey, Lawson T.","Bailey, William M.",undervote
2254,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Houseal, Ian P.","Buxton, Catherine A.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.",undervote
2255,Portland Absentee,Ballot Style 3,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
2256,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.","Rovelto, Hope R.","Washburn, Patricia J.","Grant, Benjamin K.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A."
2257,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2258,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2259,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2260,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2261,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
2262,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2263,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Chann, Marpheen S.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2264,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,"Houseal, Ian P.","Grant, Benjamin K.","Condrey, Lawson T.","DiMillo, Steven A.","Chann, Marpheen S."
2265,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
2266,Portland Absentee,Ballot Style 2,overvote,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2267,Portland Absentee,Ballot Style 4,"Houseal, Ian P.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Bailey, William M.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote
2268,Portland Absentee,Ballot Style 1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
2269,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
2270,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
2271,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2272,Portland Absentee,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2273,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2274,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
2275,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
2276,Portland Absentee,Ballot Style 2,"Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2277,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote
2278,Portland Absentee,Ballot Style 5,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2279,Portland Absentee,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2280,Portland Absentee,Ballot Style 1,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote
2281,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2282,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
2283,Portland Absentee,Ballot Style 2,"Chann, Marpheen S.","Buxton, Catherine A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
2284,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2285,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
2286,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
2287,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote
2288,Portland Absentee,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","DiMillo, Steven A.",undervote
2289,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2290,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2291,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2292,Portland Absentee,Ballot Style 5,"Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2293,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Buxton, Catherine A.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
2294,Portland Absentee,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2295,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2296,Portland Absentee,Ballot Style 2,"Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.","Chann, Marpheen S.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote
2297,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2298,Portland Absentee,Ballot Style 1,"Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Houseal, Ian P.",undervote,"DiMillo, Steven A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote
2299,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2300,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Grant, Benjamin K.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
2301,Portland Absentee,Ballot Style 5,"Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
2302,Portland Absentee,Ballot Style 5,"Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2303,Portland Absentee,Ballot Style 2,"Emerson, Anthony M.","Houseal, Ian P.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,undervote,undervote,undervote
2304,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Washburn, Patricia J.","Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2305,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2306,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote
2307,Portland Absentee,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2308,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2309,Portland Absentee,Ballot Style 3,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote,overvote
2310,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Grant, Benjamin K.","Rovelto, Hope R."
2311,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2312,Portland Absentee,Ballot Style 2,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2313,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2314,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote
2315,Portland Absentee,Ballot Style 2,"Grant, Benjamin K.","Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Bailey, William M.","Houseal, Ian P.","DiMillo, Steven A.",undervote
2316,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Chann, Marpheen S.","Houseal, Ian P.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote
2317,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Condrey, Lawson T.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2318,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
2319,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2320,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Washburn, Patricia J.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2321,Portland Absentee,Ballot Style 1,"Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Bailey, William M.","Chann, Marpheen S.","Emerson, Anthony M.","DiMillo, Steven A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.",undervote
2322,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2323,Portland Absentee,Ballot Style 1,"Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2324,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Rovelto, Hope R.",undervote,undervote,undervote,undervote,undervote,undervote
2325,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2326,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote
2327,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2328,Portland Absentee,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
2329,Portland Absentee,Ballot Style 1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2330,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.",overvote,"Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2331,Portland Absentee,Ballot Style 1,"Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2332,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2333,Portland Absentee,Ballot Style 5,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2334,Portland Absentee,Ballot Style 5,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
2335,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
2336,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2337,Portland Absentee,Ballot Style 4,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
2338,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
